"book","main","Main text block",,"//==================================
// Main text block
//==================================",,,,,,
"chapter","textscript-section-0x0","Intro",,"//==================================
// Intro
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x0
//=====",,,,,,
"string","maintext-0x0_1",,,"
[setpos]<$02><$01>
どうだ　いいだろー　MR-2\n
\p　やさしく　うんてんしろよ","[setpos]<$02><$01>
See, ain't the MR2 a dream?\n
Easy with her now, \p.",,"=IF(F4=I4, ""UNTRANSLATED"", """")",,"[url]https://en.wikipedia.org/wiki/Toyota_MR2[/url]
apparently not actually spelled with a hyphen — Supper (2025-04-22 23:02:53)","{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x0"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x28
//=====",,,,,,
"string","maintext-0x28_1",,,"わかった　わかった\n
でも　これちゅうこだろ","Yeah, yeah. What's it matter?\n
Didn't you get this thing used anyway?",,"=IF(F6=I6, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x28"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x42
//=====",,,,,,
"string","maintext-0x42_1",,,"あっ[delay]<$14>　そういうこと　いうんだな！\n
もう　おまえには　うんてんさせてやんない","Hey![delay]<$14> Don't be like that!\n
See if I ever let you drive her again!",,"=IF(F8=I8, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x42"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x6D
//=====",,,,,,
"string","maintext-0x6D_1",,,"うそうそ　いいなー　このクルマ\n
パワーはあるし　コーナーリングもいいし・・","Just razzin' ya. Man...This car's got major power, and the cornering's great...",,"=IF(F10=I10, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x6D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x9D
//=====",,,,,,
"string","maintext-0x9D_1",,,"だろー　そうなんだよ　　こいつさえ　あれば\n
そのへんの　クルマには　まず　まけないね","Right? Nothing around here can top you when you've got this baby.",,"=IF(F12=I12, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0x9D"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0xD0
//=====",,,,,,
"string","maintext-0xD0_1",,,"おい　今村！　となりのクルマ　こっちを　みてエンジンふかしてるぜ！","Hey, Imamura! That guy's looking at us and revving his engine!",,"=IF(F14=I14, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""pre_comments"":[{""content"":""String start: maintext-0xD0"",""type"":""small""}],""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
"string","maintext-0xD0_3",,,"オレたちと　しょうぶ　しようってのか！","Looks like some joker wants to race!",,"=IF(F15=I15, ""UNTRANSLATED"", """")",,,"{""book"":""main"",""canon_fail_on_y_overflow"":0,""canon_font"":""std"",""canon_height"":-1,""canon_width"":-1,""chapter"":""textscript-section-0x0"",""extra_params"":{""stringProperties"":[]},""page"":"""",""contentIsDupeOf"":"""",""prefixIsDupeOf"":"""",""suffixIsDupeOf"":""""}"
,,,,"//=====
// String start: maintext-0x112
//=====",,,,,,
