"book","main","Main text block",,"//==================================
// Main text block
//==================================",,,,,,
"chapter","textscript-section-0x0","Intro",,"//==================================
// Intro
//==================================",,,,,,
,,,,"//=====
// String start: maintext-0x0
//=====",,,,,,
"string","maintext-0x0_1",,,"
[setpos]<$02><$01>
どうだ　いいだろー　MR-2\n
\p　やさしく　うんてんしろよ",,,"=IF(F4=I4, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x0"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x0"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x28
//=====",,,,,,
"string","maintext-0x28_1",,,"わかった　わかった\n
でも　これちゅうこだろ",,,"=IF(F6=I6, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x0"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x28"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x42
//=====",,,,,,
"string","maintext-0x42_1",,,"あっ[delay]<$14>　そういうこと　いうんだな！\n
もう　おまえには　うんてんさせてやんない",,,"=IF(F8=I8, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x0"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x42"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x6D
//=====",,,,,,
"string","maintext-0x6D_1",,,"うそうそ　いいなー　このクルマ\n
パワーはあるし　コーナーリングもいいし・・",,,"=IF(F10=I10, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x0"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x6D"",
      ""type"": ""small""
    }
  ]
}"
,,,,"//=====
// String start: maintext-0x9D
//=====",,,,,,
"string","maintext-0x9D_1",,,"だろー　そうなんだよ　　こいつさえ　あれば\n
そのへんの　クルマには　まず　まけないね",,,"=IF(F12=I12, ""UNTRANSLATED"", """")",,,"{
  ""book"": ""main"",
  ""canon_fail_on_y_overflow"": 0,
  ""canon_font"": ""std"",
  ""canon_height"": -1,
  ""canon_width"": -1,
  ""chapter"": ""textscript-section-0x0"",
  ""extra_params"": 
  {
    ""stringProperties"": 
    {

    }
  },
  ""page"": """",
  ""pre_comments"": 
  [
    
    {
      ""content"": ""String start: maintext-0x9D"",
      ""type"": ""small""
    }
  ]
}"
